sans affichage	0,0157168	0,021055042		avec affichage	0,0732105	0,078482245		rapport	3,727479864		"temps à 
l'affichage"	0,0687487	0,059559564
	0,017621				0,0659242							0,0573064	
	0,0222132				0,0765076			difference	0,057427203			0,0449524	
	0,0232477				0,0816196							0,0759741	
	0,0234177				0,0901554							0,0564145	
	0,0178036				0,0589424							0,0540861	
	0,0138367				0,0696202							0,042166	
	0,0185193				0,0587409							0,0721957	
	0,0165898				0,0536194							0,0428789	
	0,0196485				0,0632034							0,0537798	
	0,0152575				0,0680305							0,0674692	
	0,0141755				0,0588988							0,0496627	
	0,0208954				0,0636076							0,0394069	
	0,0201039				0,0582573							0,0664408	
	0,0171131				0,0595197							0,0664375	
	0,0180441				0,0895092							0,0398304	
	0,0170966				0,0897046							0,0613922	
	0,0170246				0,103859							0,0589778	
	0,0270178				0,0846643							0.04632 s	
	0,0261259				0,0809052							0,064823	
	0,0277715				0,0636643							0,0590838	
	0,026502				0,0954261							0,0524997	
	0,0278967				0,0783928							0,0658495	
	0,0240209				0,0594554							0,0614768	
	0,0141875				0,052115							0,0533358	
	0,0159226				0,0677847							0,0647635	
	0,0132412				0,066967							0,061401	
	0,0280421				0,0854982							0,0642318	
	0,0214295				0,0979584							0,0519663	
	0,0276333				0,0975145							0,0512118	
	0,0291802				0,0956159							0,0446711	
	0,0295368				0,0900514							0,0584901	
	0,0234576				0,0978721							0,068084	
	0,0137076				0,0657818							0,0664801	
	0,0257075				0,0848049							0,0523161	
	0,0253218				0,0903212							0,0617952	
	0,0285015				0.08007 s							0,0577396	
	0,0160448				0,0661041							0,0704754	
	0,0141706				0,0737755							0,055672	
	0,0273692				0,0724084							0,0445308	
	0,0192972				0,0889356							0,0425778	
	0,0270403				0,0878354							0,0495064	
	0,0175846				0,102867							0,0577365	
	0,0127336				0,0691308							0,044647	
	0,0131058				0,0872791							0,0664357	
	0,0249484				0,0989287							0,0561829	
	0,0276425				0,0994129							0,0384469	
	0,0288243				0,0675767							0,0657574	
	0,0282443				0,0706268							0,0608214	
	0,0232698				0,092547							0,0387183	
	0,0257916				0,0732417							0,0666601	
	0,0271848				0,0857972							0,0661773	
	0,0263071				0,0882592							0,053031	
	0,0300144				0,0902189							0,0511131	
	0,0144203				0,0918445							0,0543759	
	0,0135339				0,0820301							0,0651455	
	0,0207568				0,0815517							0,066846	
	0,0239224				0,0918756							0,0645088	
	0,0282052				0,0782585							0,0467538	
	0,0285062				0,106247							0,066393	
	0,0288525				0,066613							0,0621063	
	0,0203322				0,0994731							0,0504598	
	0,0138792				0,0553078							0,0519452	
	0,0257491				0,0553362							0,0441589	
	0,0271077				0,0651088							0,0619768	
	0,0213221				0,0614122							0,0423662	
	0,0155897				0,0950135							0,0569329	
	0,0272029				0,101514							0,045149	
	0,014195				0,0885886							0,0544993	
	0,0138466				0,0769065							0,0580386	
	0,0276791				0,0825784							0,0478285	
	0,025403				0,0630377							0,0676487	
